The Bohemian (McGeoughs),53.360917,-6.2729243
The Clock,53.3429336,-6.2792108
The Swiss Cottage Pub and Off Licence,53.3957948,-6.2450829
Frehill's Tavern,53.401471,-6.2435544
CopÃ¡n,53.3195865,-6.3131108
The Student Bar,53.3218191,-6.2656355
The Capitol Lounge,53.3050518,-6.220358
The Confession Box,53.3412997,-6.2653194
Cafe Bar H,53.3503185,-6.2584515
The Malt House,53.3433861,-6.2388784
Dame Tavern,53.3429392,-6.291006
Furry Bog,53.3437674,-6.263866
The Mission,53.3470952,-6.2836885
Noel Leonards (Closed),53.3464035,-6.2843718
Magic Glasses,53.3374044,-6.2634682
Sure Bar,53.3408345,-6.2681589
The Millenium,53.3480466,-6.2900462
Murrays,53.3523431,-6.2609615
Lafayette,53.3465537,-6.2588386
The Temple,53.3573745,-6.2637676
Agnes Browne's,53.3432707,-6.281063
The Fountain,53.3406636,-6.27815
The Lamplighter,53.3397428,-6.2780884
The Liberty Belle,53.341565,-6.274883
Tom Kennedy's,53.3427402,-6.2772127
The South William,53.3418781,-6.2626471
The Thomas House,53.3430692,-6.276905
The Lark Inn,53.341684,-6.278673
The Liberty Bar,53.3414826,-6.2785349
The Pimlico Tavern,53.34013,-6.280709
Shanahan's,53.33975,-6.275659
Richmond House,53.3402486,-6.3168219
Gleesons of Booterstown,53.3054689,-6.197606
The Snug Bar,53.3414249,-6.2657823
Tolka House,53.3738004,-6.2689642
Citi Bar,53.3443064,-6.263706
Bad Bobs Temple Bar,53.3450328,-6.2659898
The Two Sisters,53.3090557,-6.3052695
Wicked Wolf,53.3019062,-6.1779873
The Portobello Bar,53.3303513,-6.2641555
The Hill,53.326641,-6.2583564
Morrissey's,53.3369065,-6.2874547
Pifko Bar,53.3460172,-6.2802844
Fitzsimon's,53.3454409,-6.2651087
Edenmore House,53.3882621,-6.1834132
The Concorde,53.3888986,-6.1809861
The Bridge Tavern,53.3573001,-6.2489006
Metro CafÃ© & Bar,53.2897005,-6.3650119
The Willows,53.3932971,-6.2859189
Forum Bar,53.3440629,-6.2685415
Cremore House,53.3823958,-6.2775816
Quarry House,53.382084,-6.2767253
Autobahn Roadhouse,53.3897043,-6.2712214
The Workman's Club,53.3453414,-6.2668315
Matt Weldon's,53.3853244,-6.2656088
Nubar,53.3850696,-6.2589215
The Comet,53.3884557,-6.2459625
The Sunset House,53.3570266,-6.2493832
Rory O'Connor's,53.3159336,-6.3173081
The Submarine,53.3161733,-6.3173858
Dandelion,53.3395917,-6.261278
The Players Lounge,53.3628264,-6.2401557
Meagher's,53.362621,-6.242264
Annesley House,53.3595935,-6.2403039
Barcode,53.3629792,-6.2287076
McGrath's,53.36263,-6.2589247
Quinn's,53.363551,-6.2581112
The Hideout House,53.3596909,-6.2569405
Brewery Bar,53.3404859,-6.2868779
EpiCenter,53.3572808,-6.2269266
Pebble Beach,53.3594872,-6.1896797
Kyles,53.3888556,-6.2008612
Sheaf O' Wheat,53.3893099,-6.2007869
Dusk Nightclub,53.3964581,-6.2149245
Ardlea Inn,53.3867314,-6.2115192
The Roundabout,53.383917,-6.2068448
The Goblet,53.3803235,-6.2101031
Kavanagh's,53.3363297,-6.2728689
Finglas Inn,53.3950932,-6.3112416
M. Hughes,53.3469584,-6.2723297
McGowan's of Harold's Cross,53.3233599,-6.2800896
Matt's of Cabra (Closed),53.3662372,-6.2897667
Stoney's,53.3552202,-6.2604108
W. J. Kavanagh,53.357666,-6.263463
Kitty Kiernans,53.3766457,-6.2231851
Hemidemisemiquaver Bar,53.3487544,-6.2285572
Twisted Pepper,53.3480043,-6.2621526
O'Shea's,53.3508625,-6.2542696
The Goat Grill,53.292578,-6.2297743
The Revels,53.2983302,-6.2855664
The Castle Inn,53.2984409,-6.2854688
The Kestrel House,53.3174091,-6.3323303
The Elphin,53.3893347,-6.1236878
The Longmile Inn,53.3241703,-6.3290473
The Halfway House,53.3238179,-6.328425
The Garage Bar,53.3451402,-6.2662914
Marble Arch,53.3358378,-6.3120274
The Hub (The Shaw Arms),53.3206892,-6.3162604
Hacienda Bar,53.3481928,-6.2702321
The Legal Eagle,53.345711,-6.2721255
Adelphi,53.3479699,-6.2624624
Eleanora's,53.3241269,-6.3254374
The Blackforge Inn,53.3239923,-6.3264132
Burke's Bar (Closed),53.3530215,-6.2487981
Newtown House,53.3963925,-6.1888701
Bodkin's,53.351328,-6.269929
The Green Room,53.3498005,-6.2299289
Seabank House,53.3548879,-6.2291889
Richard Cusack's,53.3575123,-6.2424662
The Stone Boat,53.3206556,-6.2921497
KCR House,53.3141966,-6.2964378
The Old County,53.3273937,-6.3060022
The Black Horse Inn,53.3145684,-6.3000531
The Square Ball,53.340843,-6.244782
The Strand House,53.3550033,-6.2460175
Mullet's Pub,53.3525997,-6.249261
The Foxhound Inn,53.3859746,-6.1555082
Cellar Bar,53.3387556,-6.2526088
Cumiskey's,53.354343,-6.2720844
The Berkeley,53.3560761,-6.2679438
Bison bar,53.3453508,-6.2667024
Darkey Kelly's,53.3439563,-6.2699696
Oscars,53.3488044,-6.2785932
The King's Inn,53.352258,-6.269085
The Long Island Bar,53.355365,-6.266071
Glynn's,53.355499,-6.26587
Delahunty's,53.355613,-6.265773
The Findlater,53.356953,-6.264515
Peadar Kearney's,53.344272,-6.265415
Sweeney's,53.3440934,-6.2629657
Buskers Bar,53.345832,-6.26051
Conways,53.3017772,-6.1781655
McCanns,53.343539,-6.289078
Aurora,53.3574023,-6.2641644
Platform One,53.3410509,-6.3351801
Tim Young's,53.3416494,-6.3568639
The Blarney Inn,53.3421258,-6.2548307
Club Nassau,53.3421151,-6.2547398
The Laurence Lounge,53.3430251,-6.3380349
Downey's,53.3423356,-6.3571492
The Sackville Lounge,53.348973,-6.258864
Madigan's,53.348672,-6.258702
O'Donoghue's,53.343436,-6.259706
O'Neills,53.3438425,-6.2607432
Molloy's,53.3511395,-6.2513336
Play Night Club,53.3464453,-6.2578726
Grace's,53.3218142,-6.2664357
Tramco Brewery (closed),53.3259911,-6.2652385
